City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
269,Lekoni,GA,-1.58,14.26,84.04,52,51,6.67,broken clouds,0.0,0.0
270,Hualmay,PE,-11.1,-77.61,62.76,71,18,6.08,few clouds,0.0,0.0
271,Anahuac,MX,27.23,-100.15,80.6,83,5,11.41,clear sky,0.0,0.0
272,Port Lincoln,AU,-34.73,135.87,53.44,78,67,12.97,light rain,0.1,0.0
273,Poronaysk,RU,49.22,143.12,53.91,90,81,5.79,broken clouds,0.0,0.0
274,Niquero,CU,20.04,-77.58,84.27,73,86,6.04,overcast clouds,0.0,0.0
275,Tayu,ID,-6.54,111.05,79.75,79,57,7.16,broken clouds,0.0,0.0
276,Tyrma,RU,50.08,132.17,64.06,88,8,1.39,light rain,0.2,0.0
277,Celestun,MX,20.87,-90.4,81.95,76,11,7.16,few clouds,0.0,0.0
278,Malatya,TR,38.5,38.0,93.2,24,20,5.82,few clouds,0.0,0.0
279,Synya,RU,65.37,58.04,69.42,47,55,8.75,broken clouds,0.0,0.0
280,Hamilton,US,39.18,-84.53,81.0,61,1,5.82,clear sky,0.0,0.0
281,Solnechnyy,RU,50.72,136.63,58.62,86,7,1.97,clear sky,0.0,0.0
282,Nayoro,JP,44.35,142.46,60.06,84,100,5.12,overcast clouds,0.0,0.0
283,Afsin,TR,38.25,36.91,87.44,18,24,13.65,few clouds,0.0,0.0
284,Am Timan,TD,11.03,20.28,72.28,92,100,3.62,light rain,0.6,0.0
285,Imeni Poliny Osipenko,RU,52.42,136.49,56.71,93,0,7.78,clear sky,0.0,0.0
286,Zenzeli,RU,45.92,47.05,93.67,30,88,7.81,light rain,0.3,0.0
287,Estelle,US,29.85,-90.11,87.01,84,75,9.17,broken clouds,0.0,0.0
288,Little Current,CA,45.98,-81.92,69.8,88,90,11.41,overcast clouds,0.0,0.0
289,Broken Hill,AU,-31.95,141.43,44.6,87,99,5.82,overcast clouds,0.0,0.0
290,Nurota,UZ,40.56,65.69,86.0,37,75,2.24,broken clouds,0.0,0.0
291,Twentynine Palms,US,34.14,-116.05,88.0,21,1,4.7,clear sky,0.0,0.0
292,Yar-Sale,RU,66.83,70.83,60.94,56,26,10.85,scattered clouds,0.0,0.0
293,Tahe,CN,52.33,124.73,70.3,65,52,1.88,broken clouds,0.0,0.0
294,Abonnema,NG,4.71,6.79,80.6,88,75,5.82,broken clouds,0.0,0.0
295,Nanakuli,US,21.39,-158.15,78.01,73,90,4.7,overcast clouds,0.0,0.0
296,Genhe,CN,50.78,121.52,64.78,68,1,2.33,clear sky,0.0,0.0
297,Utete,TZ,-7.99,38.76,80.78,65,41,9.46,scattered clouds,0.0,0.0
